Date,Instrument,Song,Artist,Genre
3/4/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/4/20,Electric Guitar,Found Out About You,Gin Blossoms,Rock
3/4/20,Bass,Animal I Have Become,Three Days Grace,Rock
3/4/20,Bass,Hysteria,Muse,Rock
3/4/20,Bass,A-punk,Vampire Weekend,Indie
3/4/20,Piano,Tempest Sonata,Beethoven,Classical
3/5/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
3/5/20,Piano,Tempest Sonata,Beethoven,Classical
3/5/20,Piano,Raindrop Prelude,Chopin,Classical
3/5/20,Electric Guitar,Kryptonite,Three Doors Down,Rock
3/5/20,Electric Guitar,Lifeline,Papa Roach,Rock
3/6/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
3/6/20,Acoustic Guitar,Never Mind,Foster the People,Indie
3/6/20,Acoustic Guitar,Hero,Family of the Year,Indie
3/6/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/6/20,Electric Guitar,I Don't Care,Fall Out Boy,Rock
3/6/20,Bass,Animal I Have Become,Three Days Grace,Rock
3/6/20,Bass,I Don't Care,Fall Out Boy,Rock
3/6/20,Piano,Raindrop Prelude,Chopin,Classical
3/7/20,Piano,Raindrop Prelude,Chopin,Classical
3/7/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
3/7/20,Electric Guitar,I Don't Care,Fall Out Boy,Rock
3/8/20,Piano,Raindrop Prelude,Chopin,Classical
3/8/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
3/9/20,Piano,Raindrop Prelude,Chopin,Classical
3/9/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/9/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/10/20,Piano,Tempest Sonata,Beethoven,Classical
3/11/20,Piano,Tempest Sonata,Beethoven,Classical
3/11/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/11/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/11/20,Electric Guitar,Do I Wanna Know,Arctic Monkeys,Indie
3/11/20,Bass,Miss Murder,AFI,Rock
3/12/20,Piano,Tempest Sonata,Beethoven,Classical
3/12/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/12/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/12/20,Electric Guitar,Do I Wanna Know,Arctic Monkeys,Indie
3/12/20,Acoustic Guitar,The Truth is a Cave,The Oh Hello's,Folk
3/13/20,Piano,Tempest Sonata,Beethoven,Classical
3/14/20,Bass,She Wolf,Shakira,Pop
3/14/20,Piano,Tempest Sonata,Beethoven,Classical
3/14/20,Piano,Raindrop Prelude,Chopin,Classical
3/15/20,Acoustic Guitar,26,Caamp,Folk
3/15/20,Electric Guitar,Friday I'm in Love,The Cure,Rock
3/15/20,Piano,Tempest Sonata,Beethoven,Classical
3/16/20,Piano,Tempest Sonata,Beethoven,Classical
3/17/20,Acoustic Guitar,26,Caamp,Folk
3/17/20,Piano,Tempest Sonata,Beethoven,Classical
3/17/20,Electric Guitar,Ohio is for Lovers,Hawthorne Heights,Rock
3/17/20,Electric Guitar,Rock Show,blink-182,Rock
3/17/20,Bass,Rock Show,blink-182,Rock
3/18/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
3/18/20,Acoustic Guitar,26,Caamp,Folk
3/18/20,Piano,Tempest Sonata,Beethoven,Classical
3/18/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
3/19/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
3/19/20,Electric Guitar,Decode,Paramore,Rock
3/19/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
3/19/20,Piano,Tempest Sonata,Beethoven,Classical
3/19/20,Piano,Raindrop Prelude,Chopin,Classical
3/20/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
3/20/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
3/20/20,Piano,Raindrop Prelude,Chopin,Classical
3/21/20,Electric Guitar,Misery Business,Paramore,Rock
3/21/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
3/21/20,Acoustic Guitar,Harmony Hall,Vampire Weekend,Indie
3/21/20,Acoustic Guitar,Dragonfly,M. Craft,Folk
3/21/20,Acoustic Guitar,Slide,The Goo Goo Dolls,Rock
3/21/20,Piano,Lost (arrangement),Me,My Composition
3/21/20,Piano,Tempest Sonata,Beethoven,Classical
3/22/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
3/22/20,Acoustic Guitar,Slide,The Goo Goo Dolls,Rock
3/22/20,Piano,Lost (arrangement),Me,My Composition
3/22/20,Piano,Agape (arrangement),Me,My Composition
3/23/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
3/23/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
3/23/20,Piano,Tempest Sonata,Beethoven,Classical
3/24/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/24/20,Electric Guitar,Awakening,Yellowcard,Rock
3/24/20,Piano,Tempest Sonata,Beethoven,Classical
3/24/20,Piano,Misc Arrangements,Me,My Composition
3/25/20,Electric Guitar,1985',Bowling for Soup,Rock
3/25/20,Electric Guitar,Rock Show,blink-182,Rock
3/25/20,Piano,Tempest Sonata,Beethoven,Classical
3/26/20,Ukulele,I'm Yours,Jason Mraz,Pop
3/26/20,Piano,Tempest Sonata,Beethoven,Classical
3/26/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/26/20,Electric Guitar,Do I Wanna Know,Arctic Monkeys,Indie
3/27/20,Electric Guitar,OG Stuff,Me,My Composition
3/27/20,Electric Guitar,Rock Show,blink-182,Rock
3/28/20,Electric Guitar,This Must Be the Place,Talking Heads,Rock
3/28/20,Electric Guitar,Is Nowhere,Mayday Parade,Rock
3/28/20,Electric Guitar,Slow Death,We are Scientists,Rock
3/28/20,Ukulele,I'm Yours,Jason Mraz,Pop
3/28/20,Piano,Raindrop Prelude,Chopin,Classical
3/29/20,Electric Guitar,Check Yes Juliet,We the Kings,Rock
3/29/20,Piano,Moonlight Sonata,Beethoven,Classical
3/30/20,Piano,Moonlight Sonata,Beethoven,Classical
3/30/20,Piano,OG Stuff,Me,My Composition
3/30/20,Electric Guitar,Pretender,Foo Fighters,Rock
3/31/20,Ukulele,Angels on the Moon,Thriving Ivory,Pop
3/31/20,Ukulele,I'm Yours,Jason Mraz,Pop
3/31/20,Ukulele,Riptide,Vance Joy,Folk
3/31/20,Electric Guitar,Angels on the Moon,Thriving Ivory,Pop
3/31/20,Electric Guitar,Mr. Blue Sky,Electric Light Orchestra,Rock
3/31/20,Electric Guitar,Slow Death,We are Scientists,Rock
3/31/20,Piano,Moonlight Sonata,Beethoven,Classical
4/1/20,Electric Guitar,Kryptonite,Three Doors Down,Rock
4/1/20,Electric Guitar,Is Nowhere,Mayday Parade,Rock
4/1/20,Electric Guitar,Sureshot,Yellowcard,Rock
4/1/20,Electric Guitar,Telescope,Yellowcard,Rock
4/1/20,Piano,Moonlight Sonata,Beethoven,Classical
4/1/20,Piano,OG Stuff,Me,My Composition
4/2/20,Bass,Head Like a Hole,Nine Inch Nails,Rock
4/2/20,Bass,Something is Not Right With Me,Cold War Kids,Indie
4/2/20,Bass,This Must Be the Place,Talking Heads,Rock
4/2/20,Piano,Moonlight Sonata,Beethoven,Classical
4/2/20,Piano,Moonlight Sonata,Beethoven,Classical
4/2/20,Acoustic Guitar,Wait for Me,Motopony,Folk
4/2/20,Acoustic Guitar,Atlas Hands,Benjamin Francis Leftwich,Folk
4/2/20,Electric Guitar,Sureshot,Yellowcard,Rock
4/2/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
4/2/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
4/3/20,Electric Guitar,Sureshot,Yellowcard,Rock
4/3/20,Electric Guitar,Telescope,Yellowcard,Rock
4/3/20,Electric Guitar,Is Nowhere,Mayday Parade,Rock
4/3/20,Piano,Moonlight Sonata,Beethoven,Classical
4/3/20,Piano,Tempest Sonata,Beethoven,Classical
4/3/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
4/4/20,Electric Guitar,Bury It,CHVRCHES,Indie
4/4/20,Electric Guitar,Telescope,Yellowcard,Rock
4/4/20,Electric Guitar,Is Nowhere,Mayday Parade,Rock
4/4/20,Electric Guitar,Decode,Paramore,Rock
4/4/20,Bass,This Must Be the Place,Talking Heads,Rock
4/4/20,Piano,Moonlight Sonata,Beethoven,Classical
4/4/20,Piano,Pompeii,Bastille,Indie
4/5/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
4/5/20,Piano,Moonlight Sonata,Beethoven,Classical
4/5/20,Piano,Tempest Sonata,Beethoven,Classical
4/5/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
4/5/20,Electric Guitar,Rock Show,blink-182,Rock
4/5/20,Electric Guitar,Something is Not Right With Me,Cold War Kids,Indie
4/5/20,Electric Guitar,You're Gonna Go Far Kid,The Offspring,Rock
4/6/20,Electric Guitar,This Must Be the Place,Talking Heads,Rock
4/6/20,Electric Guitar,The Man Who Can't Be Moved,The Script,Pop
4/6/20,Piano,Moonlight Sonata,Beethoven,Classical
4/6/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
4/6/20,Ukulele,Hey There Delilah,Plain White T's,Pop
4/6/20,Ukulele,5 Years Time,Noah and the Whale,Indie
4/7/20,Ukulele,Hey There Delilah,Plain White T's,Pop
4/7/20,Ukulele,Blackbird,The Beatles,Pop
4/7/20,Ukulele,Agape,Bears Den,Folk
4/7/20,Ukulele,Aliens Exist,blink-182,Rock
4/7/20,Electric Guitar,Decode,Paramore,Rock
4/7/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
4/8/20,Acoustic Guitar,Slide,The Goo Goo Dolls,Rock
4/8/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
4/8/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
4/9/20,Piano,Moonlight Sonata,Beethoven,Classical
4/9/20,Piano,Tempest Sonata,Beethoven,Classical
4/9/20,Ukulele,Hey There Delilah,Plain White T's,Pop
4/9/20,Ukulele,Blackbird,The Beatles,Pop
4/9/20,Ukulele,I'm Not Angry Anymore,Paramore,Rock
4/9/20,Electric Guitar,Fluorescent Adolescent,Arctic Monkeys,Indie
4/9/20,Electric Guitar,Two Weeks,All That Remains,Metal
4/9/20,Electric Guitar,Smells Like Teen Spirit,Nirvana,Rock
4/9/20,Electric Guitar,You're Gonna Go Far Kid,The Offspring,Rock
4/10/20,Ukulele,I'm Not Angry Anymore,Paramore,Rock
4/10/20,Ukulele,Hey There Delilah,Plain White T's,Pop
4/10/20,Piano,Moonlight Sonata,Beethoven,Classical
4/10/20,Electric Guitar,All Star,Smash Mouth,Rock
4/11/20,Piano,Moonlight Sonata,Beethoven,Classical
4/11/20,Electric Guitar,All Star,Smash Mouth,Rock
4/11/20,Electric Guitar,Caraphernelia,Pierce the Veil,Rock
4/12/20,Piano,Moonlight Sonata,Beethoven,Classical
4/12/20,Ukulele,Animal I Have Become,Three Days Grace,Rock
4/12/20,Electric Guitar,Break,Three Days Grace,Rock
4/12/20,Electric Guitar,Telescope,Yellowcard,Rock
4/13/20,Electric Guitar,Couldn't Believe,Broods,Pop
4/13/20,Piano,Moonlight Sonata,Beethoven,Classical
4/13/20,Electric Guitar,In Love with a Girl,Gavin DeGraw,Rock
4/13/20,Electric Guitar,All Star,Smash Mouth,Rock
4/13/20,Piano,The Scientist,Coldplay,Pop
4/14/20,Piano,Couldn't Believe (arrangement),Me,My Composition
4/14/20,Electric Guitar,Break,Three Days Grace,Rock
4/14/20,Electric Guitar,In Love with a Girl,Gavin DeGraw,Rock
4/14/20,Electric Guitar,Fluorescent Adolescent,Arctic Monkeys,Indie
4/15/20,Electric Guitar,Pretender,Foo Fighters,Rock
4/15/20,Acoustic Guitar,All Star,Smash Mouth,Rock
4/15/20,Bass,Animal I Have Become,Three Days Grace,Rock
4/15/20,Ukulele,Hey There Delilah,Plain White T's,Pop
4/15/20,Ukulele,I'm Not Angry Anymore,Paramore,Rock
4/15/20,Piano,Tempest Sonata,Beethoven,Classical
4/15/20,Piano,Moonlight Sonata,Beethoven,Classical
4/16/20,Piano,Moonlight Sonata,Beethoven,Classical
4/16/20,Electric Guitar,Awakening,Yellowcard,Rock
4/17/20,Electric Guitar,It's Not My Time,Three Doors Down,Rock
4/17/20,Electric Guitar,Slow Death,We are Scientists,Rock
4/17/20,Electric Guitar,Ignorance,Paramore,Rock
4/18/20,Piano,Moonlight Sonata,Beethoven,Classical
4/18/20,Piano,La Campanella,Liszt,Classical
4/18/20,Electric Guitar,Shake It,Metro Station,Pop
4/18/20,Electric Guitar,Hungry Like the Wolf,Duran Duran,Rock
4/18/20,Electric Guitar,Know Your Enemy,Green Day,Rock
4/18/20,Electric Guitar,Found Out About You,Gin Blossoms,Rock
4/18/20,Electric Guitar,1985',Bowling for Soup,Rock
4/19/20,Electric Guitar,Should I Stay or Should I Go,The Clash,Rock
4/19/20,Electric Guitar,Here I Am Alive,Yellowcard,Rock
4/19/20,Electric Guitar,Playing God,Paramore,Rock
4/19/20,Electric Guitar,Is Nowhere,Mayday Parade,Rock
4/19/20,Electric Guitar,Sureshot,Yellowcard,Rock
4/19/20,Piano,Moonlight Sonata,Beethoven,Classical
4/20/20,Electric Guitar,Talk Too Much,COIN,Indie
4/20/20,Electric Guitar,Kryptonite,Three Doors Down,Rock
4/20/20,Electric Guitar,Whip It,DEVO,Rock
4/20/20,Electric Guitar,Everything is Alright,Motion City Soundtrack,Rock
4/20/20,Electric Guitar,Slow Death,We are Scientists,Rock
4/20/20,Acoustic Guitar,How I Good,Yellowcard,Rock
4/21/20,Piano,Moonlight Sonata,Beethoven,Classical
4/21/20,Electric Guitar,Sex on Fire,Kings of Leon,Rock
4/21/20,Electric Guitar,Hungry Like the Wolf,Duran Duran,Rock
4/22/20,Electric Guitar,American Idiot,Green Day,Rock
4/22/20,Electric Guitar,The Anthem,Good Charlotte,Rock
4/23/20,Piano,Moonlight Sonata,Beethoven,Classical
4/23/20,Electric Guitar,If It's Not You,Keljet,Indie
4/23/20,Electric Guitar,Crash My Car,COIN,Indie
4/23/20,Electric Guitar,It's Not My Time,Three Doors Down,Rock
4/23/20,Electric Guitar,Last Resort,Papa Roach,Rock
4/23/20,Electric Guitar,Shake It,Metro Station,Pop
4/24/20,Electric Guitar,Rock Show,blink-182,Rock
4/24/20,Electric Guitar,Chasing Cars,Snow Patrol,Rock
4/24/20,Electric Guitar,Thank You for the Venom,My Chemical Romance,Rock
4/24/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
4/25/20,Bass,Shooting Stars,Bag Raiders,Indie
4/25/20,Bass,I Wanna Be Sedated,The Ramones,Rock
4/25/20,Bass,Rescue Me,OneRepublic,Pop
4/25/20,Piano,Tempest Sonata,Beethoven,Classical
4/25/20,Electric Guitar,Thank You for the Venom,My Chemical Romance,Rock
4/26/20,Piano,Tempest Sonata,Beethoven,Classical
4/26/20,Electric Guitar,Thank You for the Venom,My Chemical Romance,Rock
4/26/20,Electric Guitar,1985',Bowling for Soup,Rock
4/27/20,Bass,Tainted Love,Soft Cell,Pop
4/27/20,Bass,Something is Not Right With Me,Cold War Kids,Indie
4/27/20,Bass,Shut Up and Let Me Go,The Ting Tings,Indie
4/27/20,Bass,Whip It,DEVO,Rock
4/27/20,Piano,Moonlight Sonata,Beethoven,Classical
4/27/20,Electric Guitar,Thank You for the Venom,My Chemical Romance,Rock
4/27/20,Electric Guitar,Awakening,Yellowcard,Rock
4/27/20,Electric Guitar,Found Out About You,Gin Blossoms,Rock
4/28/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
4/28/20,Acoustic Guitar,Pretty Girl at the Airport,The Avett Brothers,Folk
4/28/20,Acoustic Guitar,History Book,Dry the River,Folk
4/28/20,Piano,Moonlight Sonata,Beethoven,Classical
4/29/20,Electric Guitar,Shake It,Metro Station,Pop
4/29/20,Electric Guitar,Pretender,Foo Fighters,Rock
4/29/20,Electric Guitar,Decode,Paramore,Rock
4/29/20,Electric Guitar,Normal Person,Arcade Fire,Indie
4/29/20,Electric Guitar,Do It All the Time,I Don't Know How But They Found Me,Indie
4/29/20,Piano,Moonlight Sonata,Beethoven,Classical
4/29/20,Bass,Compass Point,Holy Ghost,Indie
4/29/20,Bass,Whip It,DEVO,Rock
4/29/20,Bass,Shut Up and Let Me Go,The Ting Tings,Indie
4/30/20,Electric Guitar,When Did Your Heart Go Missing,Rooney,Indie
4/30/20,Electric Guitar,Here It Goes Again,OK GO,Indie
4/30/20,Acoustic Guitar,Wait for Me,Motopony,Folk
4/30/20,Acoustic Guitar,Pretty Girl at the Airport,The Avett Brothers,Folk
4/30/20,Piano,Moonlight Sonata,Beethoven,Classical
5/1/20,Electric Guitar,Whip It,DEVO,Rock
5/1/20,Electric Guitar,Do It All the Time,I Don't Know How But They Found Me,Indie
5/1/20,Electric Guitar,Here It Goes Again,OK GO,Indie
5/2/20,Bass,Miss Murder,AFI,Rock
5/2/20,Bass,Whip It,DEVO,Rock
5/2/20,Bass,1985',Bowling for Soup,Rock
5/2/20,Acoustic Guitar,Dragonfly,M. Craft,Folk
5/2/20,Acoustic Guitar,Wait for Me,Motopony,Folk
5/2/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
5/3/20,Piano,Moonlight Sonata,Beethoven,Classical
5/3/20,Electric Guitar,Awakening,Yellowcard,Rock
5/4/20,Piano,Moonlight Sonata,Beethoven,Classical
5/4/20,Electric Guitar,Hanging by a Moment,Lifehouse,Rock
5/4/20,Electric Guitar,Shooting Stars,Bag Raiders,Indie
5/4/20,Electric Guitar,Decode,Paramore,Rock
5/4/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
5/4/20,Electric Guitar,OG Stuff,Me,My Composition
5/5/20,Ukulele,Hey There Delilah,Plain White T's,Pop
5/6/20,Electric Guitar,Shake It,Metro Station,Pop
5/6/20,Electric Guitar,Undercover Martyn,Two Door Cinema Club,Indie
5/6/20,Electric Guitar,Dark Side,blink-182,Rock
5/6/20,Piano,Moonlight Sonata,Beethoven,Classical
5/7/20,Piano,Moonlight Sonata,Beethoven,Classical
5/7/20,Bass,Miss Murder,AFI,Rock
5/7/20,Bass,Awakening,Yellowcard,Rock
5/8/20,Electric Guitar,Hungry Like the Wolf,Duran Duran,Rock
5/8/20,Electric Guitar,Found Out About You,Gin Blossoms,Rock
5/8/20,Electric Guitar,The Curse of the Curves,Cute is What We Aim For,Rock
5/9/20,Piano,Moonlight Sonata,Beethoven,Classical
5/10/20,Piano,Moonlight Sonata,Beethoven,Classical
5/10/20,Piano,Tempest Sonata,Beethoven,Classical
5/10/20,Electric Guitar,Supermassive Black Hole,Muse,Rock
5/10/20,Electric Guitar,Should I Stay or Should I Go,The Clash,Rock
5/10/20,Electric Guitar,Friday I'm in Love,The Cure,Rock
5/11/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/11/20,Electric Guitar,Found Out About You,Gin Blossoms,Rock
5/12/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/12/20,Electric Guitar,Some Might Say,Oasis,Rock
5/12/20,Electric Guitar,Supermassive Black Hole,Muse,Rock
5/12/20,Electric Guitar,Knights of Cydonia,Muse,Rock
5/13/20,Piano,Waterfall Etude,Chopin,Classical
5/13/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/13/20,Bass,Hysteria,Muse,Rock
5/13/20,Bass,Feel Good Inc.,Gorillaz,Indie
5/14/20,Piano,Waterfall Etude,Chopin,Classical
5/14/20,Electric Guitar,Mr. Brightside,The Killers,Indie
5/14/20,Electric Guitar,Riot,Three Days Grace,Rock
5/15/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
5/15/20,Acoustic Guitar,Pretty Girl at the Airport,The Avett Brothers,Folk
5/15/20,Piano,Waterfall Etude,Chopin,Classical
5/15/20,Bass,Hysteria,Muse,Rock
5/15/20,Bass,Miss Murder,AFI,Rock
5/15/20,Ukulele,Hey There Delilah,Plain White T's,Pop
5/15/20,Ukulele,Agape,Bears Den,Folk
5/16/20,Piano,Waterfall Etude,Chopin,Classical
5/17/20,Piano,Waterfall Etude,Chopin,Classical
5/17/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
5/17/20,Electric Guitar,Fortress,Pinback,Indie
5/17/20,Bass,Rasputin,Boney M,Pop
5/18/20,Piano,Waterfall Etude,Chopin,Classical
5/18/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/18/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
5/18/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
5/19/20,Piano,Enigma Variations,Elgar,Classical
5/19/20,Piano,Waterfall Etude,Chopin,Classical
5/20/20,Piano,Waterfall Etude,Chopin,Classical
5/21/20,Piano,Waterfall Etude,Chopin,Classical
5/22/20,Piano,Waterfall Etude,Chopin,Classical
5/23/20,Piano,Waterfall Etude,Chopin,Classical
5/23/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/23/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
5/24/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/24/20,Acoustic Guitar,Dragonfly,M. Craft,Folk
5/25/20,Electric Guitar,Friday I'm in Love,The Cure,Rock
5/25/20,Electric Guitar,Kryptonite,Three Doors Down,Rock
5/25/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/25/20,Piano,Enigma Variations,Elgar,Classical
5/25/20,Piano,Moonlight Sonata,Beethoven,Classical
5/26/20,Piano,Moonlight Sonata,Beethoven,Classical
5/26/20,Electric Guitar,You Give Love a Bad Name,Bon Jovi,Rock
5/26/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
5/26/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
5/27/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
5/27/20,Piano,Moonlight Sonata,Beethoven,Classical
5/27/20,Piano,Enigma Variations,Elgar,Classical
5/28/20,Piano,Waterfall Etude,Chopin,Classical
5/28/20,Piano,Moonlight Sonata,Beethoven,Classical
5/29/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
5/29/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
5/29/20,Electric Guitar,Human,The Killers,Indie
5/30/20,Electric Guitar,Jump,Van Halen,Rock
5/30/20,Electric Guitar,Talk Too Much,COIN,Indie
5/30/20,Electric Guitar,Pens and Needles,Hawthorne Heights,Rock
5/30/20,Bass,Living on a Prayer,Bon Jovi,Rock
5/30/20,Bass,For Whom The Bell Tolls,Metallica,Metal
5/30/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/31/20,Electric Guitar,Pens and Needles,Hawthorne Heights,Rock
5/31/20,Electric Guitar,You Give Love a Bad Name,Bon Jovi,Rock
5/31/20,Electric Guitar,Penelope,Pinback,Indie
5/31/20,Electric Guitar,Paralyzer,Finger Eleven,Rock
5/31/20,Electric Guitar,Gotta Get Away,The Black Keys,Indie
5/31/20,Piano,Enigma Variations,Elgar,Classical
5/31/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
5/31/20,Piano,Waterfall Etude,Chopin,Classical
6/1/20,Piano,Waterfall Etude,Chopin,Classical
6/1/20,Electric Guitar,Pens and Needles,Hawthorne Heights,Rock
6/1/20,Electric Guitar,Gotta Get Away,The Black Keys,Indie
6/2/20,Piano,Waterfall Etude,Chopin,Classical
6/3/20,Piano,Waterfall Etude,Chopin,Classical
6/4/20,Piano,Waterfall Etude,Chopin,Classical
6/4/20,Electric Guitar,Stolen Dance,Milky Chance,Pop
6/5/20,Piano,Waterfall Etude,Chopin,Classical
6/5/20,Electric Guitar,The Most Beautiful Girl in the Room,Flight of the Concords,Pop
6/5/20,Electric Guitar,Stolen Dance,Milky Chance,Pop
